Date,Close/Last,Volume,Open,High,Low
01/15/2021,165.80,3635740,166.82,167.34,165.14
01/14/2021,167.09,3014951,168.35,169.17,166.89
01/13/2021,168.16,2827322,168.35,168.805,167.32
01/12/2021,168.17,5697712,166.51,168.80,166.31
01/11/2021,165.64,3710548,166.82,167.50,165.19
01/08/2021,168.79,4642159,167.34,168.96,166.29
01/07/2021,165.38,3362779,163.72,166.03,163.66
01/06/2021,162.25,4415992,160.79,164.01,160.15
01/05/2021,160.61,3131211,158.50,161.06,158.45
01/04/2021,159.42,9060195,161.78,161.89,157.44
12/31/2020,160.78,2929651,160.71,160.98,159.93
12/30/2020,160.69,2440695,160.30,160.925,160.13
12/29/2020,159.73,2431202,160.24,160.53,158.98
12/28/2020,159.68,2912501,159.42,160.32,158.60
12/24/2020,157.88,1048821,157.70,158.12,157.21
12/23/2020,157.55,2172967,157.24,158.05,156.57
12/22/2020,157.21,3726599,157.63,157.70,155.83
12/21/2020,157.89,3952165,157.40,158.81,156.27
12/18/2020,159.99,4946372,161.04,161.13,159.28
12/17/2020,160.77,1988746,160.50,160.80,160.04
12/16/2020,159.68,2221727,158.93,160.08,158.87
12/15/2020,158.64,2326300,157.91,158.67,157.19
12/14/2020,156.53,3407484,157.72,158.62,156.48
12/11/2020,156.30,2067158,156.47,157.03,155.23
12/10/2020,157.05,2903011,156.58,157.72,155.93
12/09/2020,157.19,6030412,158.37,158.45,156.52
12/08/2020,157.34,2478452,156.91,157.44,156.12
12/07/2020,157.67,4215580,157.68,157.745,156.87
12/04/2020,158.03,2089284,158.20,158.4299,157.72
12/03/2020,157.88,3005736,157.48,158.75,157.48
12/02/2020,157.44,2154615,157.81,157.81,156.77
12/01/2020,158.43,4369116,158.49,159.16,157.49
11/30/2020,157.26,3288012,157.98,158.06,155.21
11/27/2020,158.22,1108264,158.60,158.79,157.74
11/25/2020,157.88,2312351,157.57,158.14,157.13
11/24/2020,157.69,2732835,156.85,158.21,156.40
11/23/2020,155.38,2306109,154.54,155.79,154.125
11/20/2020,153.69,2066734,154.65,154.76,153.64
11/19/2020,154.50,2107214,153.71,154.65,153.38
11/18/2020,153.74,2707605,154.72,155.96,153.70
11/17/2020,154.80,2919789,154.91,155.51,153.63
11/16/2020,155.46,3932297,155.00,155.51,153.83
11/13/2020,153.45,2231761,151.87,153.705,151.65
11/12/2020,151.00,2964886,153.05,153.065,150.135
11/11/2020,153.05,3703465,152.69,153.77,152.11
11/10/2020,151.72,8882619,152.11,152.47,150.11
11/09/2020,152.26,4891333,158.04,158.04,152.07
11/06/2020,152.76,2423550,152.77,153.03,151.46
11/05/2020,153.22,3240046,152.93,154.15,152.2599
11/04/2020,150.29,4270617,148.90,152.0759,148.60
11/03/2020,147.16,2837749,145.52,147.99,144.78
11/02/2020,143.99,3990906,144.84,145.35,142.41
10/30/2020,142.97,4991626,145.03,145.55,141.74
10/29/2020,146.16,3033928,145.66,147.84,144.62
10/28/2020,145.24,4586428,147.29,148.03,145.08
10/27/2020,149.98,3120736,150.45,150.90,149.56
10/26/2020,150.05,3150116,151.43,152.05,147.915
10/23/2020,152.99,1957539,152.28,153.01,151.11
10/22/2020,151.66,2068109,151.33,151.83,149.70
10/21/2020,151.35,2769908,152.01,153.07,150.90
10/20/2020,152.18,4260407,151.85,154.06,151.44
10/19/2020,150.97,2577000,153.85,154.46,150.60
10/16/2020,152.85,2105617,154.94,155.68,152.38
10/15/2020,154.25,2379053,151.70,154.54,151.25
10/14/2020,153.68,3805374,155.73,155.89,152.99
